k,Inertia,Inertia_Change,Inertia_Change2
115,2618.5586936954383,-6.045518336903569,-1.839344061904285
116,2615.2905581123505,-3.268135583087769,2.7773827538158002
117,2606.66216180955,-8.628396302800411,-5.360260719712642
118,2601.8708359502457,-4.791325859304379,3.8370704434960317
119,2592.7677916442817,-9.103044305963977,-4.311718446659597
120,2581.1031328107388,-11.664658833542944,-2.5616145275789677
121,2577.9402315922093,-3.1629012185294414,8.501757615013503
122,2570.072373145283,-7.8678584469262205,-4.704957228396779
123,2565.488282541355,-4.584090603927962,3.283767842998259
124,2560.7630243964422,-4.725258144912914,-0.1411675409849522
125,2556.426150931162,-4.336873465280405,0.3883846796325088
126,2550.0563521264226,-6.3697988047392755,-2.0329253394588704
127,2544.046274920133,-6.0100772062896795,0.35972159844959606
128,2538.6661703522896,-5.380104567843318,0.6299726384463611
129,2535.530212577534,-3.1359577747557523,2.244146793087566
130,2531.745841026252,-3.7843715512817653,-0.648413776526013
131,2526.1172794707486,-5.628561555503438,-1.844190004221673
132,2520.5008654285566,-5.616414042191991,0.012147513311447256
133,2516.8679848623237,-3.6328805662328705,1.9835334759591206
134,2511.1145980373726,-5.7533868249511215,-2.120506258718251
135,2503.143314466566,-7.971283570806463,-2.2178967458553416
136,2495.777240275002,-7.3660741915641665,0.6052093792422966
137,2491.3187410048445,-4.4584992701575175,2.907574921406649
138,2486.0275866553416,-5.291154349502904,-0.8326550793453862
139,2480.340221842261,-5.687364813080421,-0.39621046357751766
140,2477.592329943721,-2.7478918985402743,2.939472914540147
141,2471.7746216697815,-5.817708273939388,-3.069816375399114
142,2471.3584150343836,-0.4162066353978844,5.401501638541504
143,2468.5083814352597,-2.85003359912389,-2.4338269637260055
144,2465.509736304792,-2.998645130467594,-0.14861153134370397
145,2463.996096385293,-1.513639919498928,1.4850052109686658
146,2461.6259866594887,-2.3701097258044683,-0.8564698063055403
147,2458.801821959213,-2.82416470027556,-0.45405497447109155
148,2452.6274707321404,-6.174351227072748,-3.350186526797188
149,2447.557170560379,-5.070300171761573,1.1040510553111744
150,2444.149731038099,-3.407439522279674,1.6628606494818996
151,2437.5151125320867,-6.63461850601243,-3.227178983732756
152,2431.4773245893844,-6.03778794270238,0.5968305633100499
153,2425.3649581604122,-6.112366428972109,-0.07457848626972918
154,2420.857266830647,-4.507691329765294,1.6046750992068155
155,2412.9026292671083,-7.954637563538654,-3.4469462337733603
156,2404.634737329438,-8.267891937670356,-0.3132543741317022
157,2403.7524337769364,-0.8823035525015257,7.38558838516883
158,2397.1899065742355,-6.562527202700949,-5.680223650199423
159,2393.5067778174107,-3.6831287568247717,2.879398445876177
160,2388.3522265637657,-5.154551253644968,-1.471422496820196
161,2384.779249588306,-3.5729769754598237,1.581574278185144
162,2385.201899892973,0.42265030466705866,3.9956272801268824
163,2386.1882043622395,0.9863044692665426,0.5636541645994839
164,2380.46744650121,-5.720757861029597,-6.707062330296139
165,2371.3173765191623,-9.150069982047626,-3.429312121018029
166,2366.98931839325,-4.328058125912321,4.822011856135305
167,2368.9096487480997,1.9203303548497388,6.24838848076206
168,2367.7500058217015,-1.1596429263981918,-3.0799732812479306
169,2364.8955052557044,-2.854500565997114,-1.694857639598922
170,2356.944799108953,-7.9507061467516,-5.096205580754486
171,2355.8842247742646,-1.0605743346882264,6.890131812063373
172,2349.9673407720134,-5.916884002251209,-4.856309667562982
173,2351.188890905821,1.2215501338077956,7.138434136059004
174,2351.963412730963,0.774521825141619,-0.4470283086661766
175,2348.4097453564077,-3.5536673745550615,-4.328189199696681
176,2346.860027169474,-1.54971818693366,2.0039491876214015
177,2338.488420292482,-8.371606876992246,-6.821888690058586
178,2336.67654273046,-1.8118775620218912,6.559729314970355
179,2328.6364876144717,-8.040055115988253,-6.228177553966361
180,2324.871134695323,-3.7653529191488815,4.274702196839371
181,2324.7904775918555,-0.08065710346727428,3.684695815681607
182,2321.6510430074327,-3.1394345844228155,-3.0587774809555413
183,2316.178545947995,-5.472497059437501,-2.3330624750146853
184,2311.6947909530018,-4.483754994993433,0.9887420644440681
185,2308.183182818993,-3.5116081340088385,0.9721468609845942
186,2306.1303859194268,-2.0527968995661467,1.4588112344426918
187,2302.8414670592065,-3.288918860220292,-1.2361219606541454
188,2299.2665396275966,-3.5749274316099218,-0.28600857138962965
189,2296.845492627203,-2.421047000393628,1.1538804312162938
190,2292.709954806628,-4.135537820574882,-1.714490820181254
191,2283.8670307198504,-8.842924086777657,-4.707386266202775
192,2278.617169169544,-5.2498615503063775,3.5930625364712796
193,2275.3560595166555,-3.2611096528885355,1.988751897417842
194,2272.5630678804414,-2.792991636214083,0.4681180166744525
195,2270.9422364814336,-1.620831399007784,1.172160237206299
196,2267.6442389297395,-3.297997551694152,-1.6771661526863682
197,2261.057752651546,-6.586486278193661,-3.2884887264995086
198,2258.0068017723543,-3.0509508791915323,3.5355353990021285
199,2255.8398357515425,-2.166966020811742,0.8839848583797902
200,2252.8137914845506,-3.026044266991903,-0.8590782461801609
